FID,County,Sub_County,AEZ_Code,AEZ_Name,AEZSubzone,Major_Crop,AREA,Shape__Area,Shape__Length
114,West Pokot,Pokot South Sub County,LM 5,Lower Midland,(vs^f vs) i,Livestock - Millet Zone,13148.480875,111727858.278748,65125.6070054518
115,West Pokot,Pokot South Sub County,LM 5,Lower Midland,(vs^f vs) i,Livestock - Millet Zone,13148.480875,20625054.52948,26683.8832761705
116,West Pokot,Pokot North Sub County,LM 5,Lower Midland,(vs^f vs) i,Livestock - Millet Zone,31697.3048947,319234964.308472,144622.64211983
117,West Pokot,West Pokot Sub County,LM 5,Lower Midland,(vs^f vs) i,Livestock - Millet Zone,19652.1212284,189930980.534546,158178.831094843
118,West Pokot,West Pokot Sub County,LM 5,Lower Midland,(vs^f vs) i,Livestock - Millet Zone,19652.1212284,7950919.18096924,16556.9461583699
119,West Pokot,Pokot Central Sub County,LM 5,Lower Midland,(vs^f vs) i,Livestock - Millet Zone,16106.5298704,162112195.279663,213285.457721914
120,West Pokot,Sub-County in West Pokot,LM 5,Lower Midland,(vs^f vs) i,Livestock - Millet Zone,150.443635625,1515267.29022217,19927.7822493334
121,West Pokot,Pokot Central Sub County,LM 5,Lower Midland,(vs^s/vs) i,Livestock - Millet Zone,6110.45274601,61480728.0702515,79045.2853014652
122,West Pokot,Pokot North Sub County,LM 5,Lower Midland,i (vs) i,Livestock - Millet Zone,13500.750318,135919734.124207,92741.3579496156
123,West Pokot,Pokot North Sub County,LM 5,Lower Midland,i (vs) i,Livestock - Millet Zone,13500.750318,6381.57415771484,447.346913547912
124,West Pokot,Pokot North Sub County,LM 5,Lower Midland,i (vs) i,Livestock - Millet Zone,13500.750318,34951.1528930664,1076.28555967499
125,West Pokot,West Pokot Sub County,LM 5,Lower Midland,i (vs) i,Livestock - Millet Zone,3686.57931027,37124037.1703491,49173.5981353908
126,West Pokot,Pokot North Sub County,LM 5 - 6,Lower Midland,(vs^fs) i,Livestock - Sorghum/Ranching  Zone,2544.54274707,25623958.3234253,34036.2737507123
127,West Pokot,West Pokot Sub County,LM 5 - 6,Lower Midland,(vs^fs) i,Livestock - Sorghum/Ranching  Zone,10564.0197848,106371805.511536,51069.9050159449
128,West Pokot,Pokot Central Sub County,LM 6,Lower Midland,ur i,Ranching Zone,22594.4343726,227327595.342834,94886.359370331
129,West Pokot,Pokot North Sub County,LM 6,Lower Midland,ur i,Ranching Zone,5713.03683354,57530021.8619995,63789.1323756066
130,West Pokot,West Pokot Sub County,LM 6,Lower Midland,ur i,Ranching Zone,3978.06465833,40014907.9733887,75202.0658067394
131,West Pokot,West Pokot Sub County,LM 6,Lower Midland,ur i,Ranching Zone,3978.06465833,38768.5224609375,1072.5714894582
132,West Pokot,West Pokot Sub County,LM 6,Lower Midland,ur i,Ranching Zone,3978.06465833,3770.77172851563,427.098737856316
133,West Pokot,Pokot Central Sub County,LM 6,Lower Midland,ur i,Ranching Zone,4773.90690955,48056371.9299316,69083.1541606743
134,West Pokot,Pokot South Sub County,TA 1,Tropical Alpine,Undefined cropping season,Cattle and Sheep Zone,5400.75741893,54342347.3242493,51330.6292691796
135,West Pokot,Pokot Central Sub County,TA 1,Tropical Alpine,Undefined cropping season,Cattle and Sheep Zone,1644.18472209,16542223.5467834,27042.0389882116
136,West Pokot,Pokot Central Sub County,TA 2,Tropical Alpine,Undefined cropping season,Sheep Zone,595.559302665,5991993.50827026,10366.558001201
137,West Pokot,Pokot South Sub County,UH 1,Upper Highland,vl i,Sheep and Dairy Zone,274.50505126,2761934.4229126,6421.96606531583
138,West Pokot,Pokot South Sub County,UH 1,Upper Highland,vl i,Sheep and Dairy Zone,660.864423649,6649193.84277344,10164.71887653
139,West Pokot,Pokot South Sub County,UH 1,Upper Highland,vl i,Sheep and Dairy Zone,7169.37505584,72142958.7950134,80991.824979944
