FID,County,Sub_County,AEZ_Code,AEZ_Name,AEZSubzone,Major_Crop,AREA,Shape__Area,Shape__Length
5555,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,222.018955519,220101.733154297,4036.02076722061
5556,Lamu,LAMU WEST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,894.542556855,8856703.94458008,13632.3523720463
5557,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,8.01097310127,79311.3776855469,1078.14275311116
5558,Lamu,LAMU WEST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,10.9912058863,108493.783691406,1903.9066012112
5559,Lamu,LAMU WEST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,10.9912058863,313.574951171875,105.378697339486
5560,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,12.071276836,119498.719848633,3365.36864155248
5561,Lamu,LAMU WEST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,48.5986171937,481033.52746582,3341.27603347088
5562,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,4.51607231387,44701.3776855469,1626.63934465214
5563,Lamu,LAMU WEST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,17.7722416495,175899.99206543,1886.28680851631
5564,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,2.02750722377,20066.9835205078,750.183920953608
5565,Lamu,LAMU WEST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,58.4106542232,578044.177124023,3331.5047631271
5566,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,2.940806535,26587.8120117188,880.874024954565
5567,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,2.940806535,2514.49072265625,327.816928465226
5568,Lamu,LAMU WEST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,309.819158027,3066726.6484375,9221.45271603464
5569,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,14.8766753502,117361.027709961,3219.43844730954
5570,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,14.8766753502,16971.5710449219,1012.31847867476
5571,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,14.8766753502,1821.96862792969,341.549414646145
5572,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,14.8766753502,11101.470703125,504.920821210171
5573,Lamu,LAMU WEST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,2151.42976466,13167087.5718994,26366.2755135224
5574,Lamu,LAMU WEST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,2151.42976466,8125574.49523926,13910.5214184143
5575,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,308.607549198,263723.799682617,4033.16414400991
5576,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,308.607549198,7404.26672363281,469.863434900324
5577,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,308.607549198,107123.580444336,1835.46644929267
5578,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,308.607549198,113.357666015625,113.983124760643
5579,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,308.607549198,878117.259155273,5351.44977288071
5580,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,308.607549198,9784.76733398438,529.770204568397
5581,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,308.607549198,1602830.11486816,11548.7664537216
5582,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,308.607549198,66101.6824951172,1551.93101960737
5583,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,308.607549198,118988.817993164,1635.33714492836
5584,Lamu,LAMU WEST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,38.146867223,53337.9984130859,1147.09947647624
5585,Lamu,LAMU WEST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,38.146867223,166408.633666992,2832.59567689992
5586,Lamu,LAMU WEST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,38.146867223,157855.939453125,2691.65749112426
5587,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,145.764458464,748029.468139648,5966.57617176569
5588,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,145.764458464,694851.90637207,4010.60229799761
5589,Lamu,LAMU WEST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,1282.44001366,12693176.9797363,28698.8905970504
5590,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,456.077758789063,155.0981136252
5591,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,4402.36401367188,313.895235346198
5592,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,40458.2080078125,824.426808942329
5593,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,959.2548828125,492.829512800263
5594,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,550829.499267578,4464.41314276019
5595,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,35380.5804443359,1341.86645451167
5596,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,68600.7504882813,973.76245804786
5597,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,68.5506591796875,78.2271700561501
5598,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,378503.10534668,3443.32246708666
5599,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,1283.49853515625,614.308011787811
5600,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,111.520383058,22815.4205322266,1015.33072864565
5601,Lamu,LAMU WEST,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,34.9698859729,346153.719116211,2618.52903203829
5602,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,12.0523693936,119303.253051758,2294.78898685341
5603,Lamu,LAMU WEST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,50.8463541742,503312.12890625,3474.76745550318
5604,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,2.5557337589,25298.7471923828,1696.35116118845
5605,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,58.003164172,573895.673217773,3467.45033485887
5606,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,176.115895751,1741894.20300293,5318.47398160192
5607,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,74.935077168,741148.49206543,6617.99445432469
5608,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,77.7501289122,769243.929931641,4136.84221153911
5609,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,14.0115096943,105683.780334473,2071.86338864019
5610,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,14.0115096943,32943.6985473633,1312.9633031049
5611,Lamu,LAMU EAST,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,15.1908737409,150264.694458008,1714.99123671897
5612,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,24.9603179928,246902.505065918,2583.82600689047
5613,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,246.925407391,2431652.37762451,10552.675160137
5614,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,246.925407391,9368.341796875,438.580507106403
5615,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,133.197666148,201166.699645996,1863.72077747601
5616,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,133.197666148,1064351.17791748,9400.7017390034
5617,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,133.197666148,2010.85137939453,245.25463802002
5618,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,133.197666148,49195.0543212891,1111.64425924426
5619,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,151.516334981,1498467.7845459,6520.59580065038
5620,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,46.1413604195,139752.797729492,2291.98346136525
5621,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,46.1413604195,165764.177307129,2045.30367444215
5622,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,46.1413604195,150811.275024414,1784.58879947967
5623,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,33.809425096,334376.075500488,3130.51163465306
5624,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,80.8756142296,799837.346557617,5696.56165325444
5625,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,15.2323965603,45555.3749389648,1185.70242749058
5626,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,15.2323965603,63631.2322998047,1212.17901882382
5627,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,15.2323965603,34548.3318481445,982.706122241486
5628,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,15.2323965603,6908.44165039063,625.456055306364
5629,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,1085.20543302,10735338.3215942,19207.8057169839
5630,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,50.4388165036,102478.108947754,1671.08566912891
5631,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,50.4388165036,50683.9529418945,1492.55745671344
5632,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,50.4388165036,50399.7333984375,1098.42677578686
5633,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,50.4388165036,4.9847412109375,23.0488186051534
5634,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,50.4388165036,46117.3001708984,1339.67846693662
5635,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,50.4388165036,2503.76647949219,294.6587405583
5636,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,50.4388165036,220677.972351074,2778.12146225648
5637,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,50.4388165036,5314.51129150391,459.145243600272
5638,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,50.4388165036,20769.9491577148,741.396400630561
5639,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,2.6800697907,26507.4783325195,817.629378190486
5640,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,2033.51030514,20088259.9162598,29432.1030710059
5641,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,2033.51030514,18600.1276855469,678.264120400075
5642,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,158.676887506,14513.9423828125,632.671064305638
5643,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,158.676887506,43.4804077148438,42.0898143928389
5644,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,158.676887506,469706.198791504,3810.41168102536
5645,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,158.676887506,183394.209411621,2057.32500537233
5646,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,158.676887506,13327.0309448242,522.24666244843
5647,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,158.676887506,108045.052856445,1863.7585365287
5648,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,158.676887506,517712.193359375,4747.35818425978
5649,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,158.676887506,262208.973815918,2783.33639276368
5650,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,873.601570978,8635680.3807373,19677.9097470729
5651,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,125.41613947,214490.875671387,2146.64920342928
5652,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,125.41613947,922991.747131348,6042.46887548147
5653,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,125.41613947,2166.37658691406,231.285154844356
5654,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,125.41613947,62645.4924926758,1651.08002380642
5655,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,125.41613947,1509.44561767578,233.142116532719
5656,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,125.41613947,35875.8926391602,819.831175571024
5657,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,173.26509603,1713081.97338867,9074.18716634274
5658,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,56.0372518424,485826.652893066,3717.22805857641
5659,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,56.0372518424,20808.7414550781,769.914991925084
5660,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,56.0372518424,47425.2180175781,1224.186109826
5661,Lamu,LAMU EAST,CL 3,Coastal Lowland,m i,Coconut - Cassava Zone,9.8853520184,97786.7546386719,1627.84952794401
5662,Lamu,Sub-County in Lamu,CL 3,Coastal Lowland,m i,Coconut - Cassava Zone,21.8897860643,216535.349304199,2616.00846968854
5663,Lamu,LAMU EAST,CL 3,Coastal Lowland,m i,Coconut - Cassava Zone,302.046263629,2988233.12359619,8363.39698464231
5664,Lamu,Sub-County in Lamu,CL 3,Coastal Lowland,m i,Coconut - Cassava Zone,83.6019598839,827078.378356934,10607.0726422343
5665,Lamu,LAMU EAST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,4.18233368053,8810.69555664063,414.220539410158
5666,Lamu,LAMU EAST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,4.18233368053,32546.385925293,764.214848029616
5667,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,1.93684783303,19152.5149536133,587.074854864514
5668,Lamu,LAMU EAST,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,0.215339750532,2130.46667480469,213.575631231594
5669,Lamu,LAMU EAST,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,35.3516106549,349743.590637207,2635.90550681951
5670,Lamu,LAMU EAST,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,1.89265694651,18715.6585693359,673.824691453315
5671,Lamu,LAMU EAST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,5.14803614707,50906.2786865234,1074.92768992348
5672,Lamu,LAMU EAST,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,24.1506687025,238897.008422852,2453.09817855063
5673,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,9.3782746183,92563.9714355469,1467.04143932337
5674,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,9.3782746183,203.602661132813,77.693601164809
5675,Lamu,LAMU EAST,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,2243.9892021,14017197.2996216,33629.0439198761
5676,Lamu,LAMU EAST,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,2243.9892021,8173661.45269775,16198.8861551528
5677,Lamu,LAMU EAST,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,2243.9892021,19.82958984375,34.8533848058507
5678,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,280.66981104,73370.5751953125,1890.46141913679
5679,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,280.66981104,683113.582519531,7122.45060277138
5680,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,280.66981104,654141.061279297,5197.94001574713
5681,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,280.66981104,829609.311523438,7153.10727319055
5682,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,280.66981104,376762.022583008,4009.63720779475
5683,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,280.66981104,116567.399108887,1673.24013260627
5684,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,280.66981104,42163.0394897461,1403.74817209651
5685,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,m/s i,Cashewnut - Cassava Zone,280.66981104,0.72967529296875,5.02448491871047
5686,Lamu,LAMU EAST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,19.3992539725,191845.749938965,2460.37631162666
5687,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,11.897083439,117652.333679199,1864.28391420101
5688,Lamu,LAMU EAST,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,11.1477849898,110239.597351074,1648.26015872253
5689,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,5.85671655032,56287.5371704102,1137.89352949891
5690,Lamu,Sub-County in Lamu,CL 4,Coastal Lowland,s/m i,Cashewnut - Cassava Zone,5.85671655032,1628.24694824219,330.898319019809
5691,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,117.842681433,1164853.41125488,5652.78841295692
5692,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,30.0224227972,6456.73822021484,379.930356205292
5693,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,30.0224227972,290197.405456543,2844.44394971125
5694,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,100.828150889,986158.679992676,5872.40539980236
5695,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,100.828150889,10107.135925293,451.268727508938
5696,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,998.734369894,9870434.28417969,16380.6639084586
5697,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,173.930718535,1717844.5411377,11744.2016386622
5698,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,300.225579516,867795.045654297,9167.84673486979
5699,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,300.225579516,5352.45617675781,441.6257495612
5700,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,300.225579516,2092353.43817139,11291.6658047927
5701,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,152.159957845,11365.8996582031,526.858887365848
5702,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,152.159957845,1484935.82208252,10906.9955717976
5703,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,152.159957845,777.538452148438,203.470606417141
5704,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,152.159957845,0.08935546875,5.73793027519586
5705,Lamu,LAMU EAST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,152.159957845,4523.38507080078,390.790871946316
5706,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,223.117150682,2193213.04522705,17881.9596537282
5707,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,223.117150682,8698.71966552734,478.199590030692
5708,Lamu,LAMU WEST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,2917.50100184,28904467.0776367,46663.5815560334
5709,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,102.795665122,1016257.68823242,8672.00533496837
5710,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,102.795665122,1935.61059570313,351.563650627962
5711,Lamu,LAMU WEST,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,1277.35927479,12655481.8327637,28599.9025401252
5712,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,36.7924702227,11513.1135253906,812.723579612048
5713,Lamu,Sub-County in Lamu,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,Waterbody - Indian Ocean,36.7924702227,10450.6787109375,513.669984053615
